Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
1685-15811,837927,"A LAMP CONCRETE CONTRACTORS, INC",889351.29,ROSELLE ROAD @ SCHAUMBURG ROAD,04/27/2017,1500.COUNTY HIGHWAY DEPARTMENT,04/19/2017,08/01/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1685-15811.pdf),
13-50-025,,HEARTLAND ALLIANCE/ MAIP,650167.00,DETENTION REDUCTION PROJECT,04/27/2017,1326.JUVENILE PROBATION,04/01/2017,03/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/13-50-025-A6.pdf),
1455-14184,1108361,CARLILE ARCHITECTS/845 DESIGN GROUP JV,25167.00,JTDC ELECTRICAL MEDICAL RECORDS,04/28/2017,1031.OFFICE OF ASSET MANAGEMENT,04/07/2017,03/17/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1455-14184-A3.pdf),
1530-15015,92642,SAFER FOUNDATION,0.00,ALTERNATIVES TO DETENTION: BOND COURT BACKLOG CLEARANCE SPECIALISTS,04/28/2017,1260.PUBLIC DEFENDER,01/01/2017,12/31/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1530-15015-A1.pdf),
1684-14539,,"BAUSONE, CYNTHIA R",0.00,CONSULTING SERVICES,05/01/2017,1040.COUNTY ASSESSOR,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1684-14539-A1.pdf),
1684-15558,,BLACK DOG CORPORATION,1224721.53,NEW COUNTYWIDE FUEL CONTRACT,05/03/2017,1500.COUNTY HIGHWAY DEPARTMENT,05/01/2017,04/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1684-15558.pdf),
1730-16426,,HYGIENE SOLUTIONS,23899.20,SANITARY DISPOSAL SUPPLY & SERVICE,05/08/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1730-16426.pdf),
12-28-277,,ZIPCAR INC,16800.00,CAR SHARING SERVICES,05/08/2017,1011.OFFICE OF CHIEF ADMIN OFFICER,01/12/2017,01/11/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-28-277-A3.pdf),
1411-13576,,"EGAN, ROBERT R",113490.00,COMPLIANCE OFFICER,05/08/2017,1211.DEPT. OF ADMIN/SUPPORT SER,04/19/2017,04/18/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1411-13576-A2.pdf),
1453-14061,,KFORCE INC & SUBSIDIARIES,76252.00,TEMPORARY STAFFING SERVICES,05/08/2017,1007.REVENUE,02/16/2017,02/15/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1453-14061-A2.pdf),
1553-14756,,"A.M.C. MECHANICAL, INC",25000.00,REFRIGERATION EQUIPMENT MAINTENANCE AND REPAIRS,05/08/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,08/15/2017,08/14/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1553-14756-A1.pdf),
1718-16391,,INSTITUTE OF COMPLIANCE AND LEARNING,90000.00,FINANCE AND ACCOUNTING REVIEW,05/09/2017,1130.RECORDER OF DEEDS,05/08/2017,05/07/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1718-16391.pdf),
1753-16551,,SMITHS DETECTION INC.,6329.75,X-RAY MACHINE REPAIR,05/09/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,04/24/2017,04/24/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1753-16551.pdf),
1453-13367,853514,BLACK DOG CORPORATION,120000.00,FRUIT JUICES,05/09/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1453-13367-A2.pdf),
1555-14475-GC3-(020465.02),,PAUL BORG CONSTRUCTION COMPANY,53732.87,2016 JOC PROGRAM,05/10/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-GC3-(020465.02).pdf),
1555-14475-MC6-(018515.03),,PAUL BORG CONSTRUCTION COMPANY,17192.81,2016 JOC PROGRAM,05/10/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-MC6-(018515.03).pdf),
1623-15687,,KIP AMERICA,75888.00,LEASING PRINTERS WITH SCANNER,05/10/2017,1501.MFT ILLINOIS FIRST (IST),05/10/2017,05/09/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1623-15687.pdf),
1755-16129,,DUNNET BAY CONSTRUCTION COMPANY,1256082.55,HAPP ROAD - HAPP ROAD BRIDGE OVER SKOKIE RIVER,05/12/2017,1500.COUNTY HIGHWAY DEPARTMENT,05/17/2017,12/10/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1755-16129.pdf),
1726-16195,,CHEROKEE PRINTING & SERVICES INC.,14787.00,ILLINOIS CIVIL LAW CITATION TICKETS,05/17/2017,1335.CLERK OF CRCT CRT OFF.OF CLERK,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1726-16195.pdf),
1790-16177,,SKYLINE BOX AND PACKAGING,350288.90,COUNTY WIDE BOTTLED WATER,05/17/2017,1300.JUDICIARY,05/18/2017,05/17/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1790-16177.pdf),
1488-14030,,AMERICAN MESSAGING SERVICES LLC,0.00,PAGING SERVICES,05/17/2017,1009.ENTERPRISE TECHNOLOGY,12/01/2017,11/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1488-14030-A1.pdf),
1388-12594,,A SAFE HAVEN LLC,0.00,2012 SUBSTANCE ABUSE COUNSELING AND TREATMENT,05/18/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12594-A5.pdf),
1388-12596,,AVANCE PC,0.00,2012 SUBSTANCE ABUSE COUNSELING AND TREATMENT,05/18/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12596-A2.pdf),
1388-12597,,BEHAVIORAL SERVICES CENTER,0.00,SUBSTANCE ABUSE TREATMENT AND COUNSELING SERVICES,05/18/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12597-A2.pdf),
1388-12600,,EMAGES INC,0.00,SUBSTANCE ABUSE TREATMENT AND COUNSELING SERVICES,05/18/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12600-A2.pdf),
1388-12601,,FAMILY GUIDANCE CENTERS INC,0.00,2012 SUBSTANCE ABUSE COUNSELING AND TREATMENT,05/18/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12601-A2.pdf),
1388-12602,,SOUTH SUBURBAN COUNCIL ON ALCOHOL,0.00,SUBSTANCE ABUSE TREATMENT AND COUNSELING,05/18/2017,1280.ADULT PROBATION DEPT.,06/01/2017,05/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12602-A3.pdf),
1635-15321,,ROLL & ROLL METAL FABRICATORS INC,45000.00,"SERVICE, WELD STAINLESS STEEL",05/19/2017,1200.DEPT. OF FACILITIES/MGMT,05/22/2017,05/21/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15321.pdf),
1753-16287,,CRISTINA FOODS INC.,1626261.50,FROZEN FOOD PRODUCTS,05/19/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,05/15/2017,05/14/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1753-16287.pdf),
1388-12591,,"GATEWAY FOUNDATION, INC.",70000.00,SUBSTANCE ABUSE TREATMENT AND COUNSELING SERVICES,05/19/2017,1280.ADULT PROBATION DEPT.,06/01/2017,05/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12591-A5.pdf),
1388-12592,,HEALTHCARE ALTERNATIVE SYSTEMS,0.00,2012 SUBSTANCE ABUSE COUNSELING AND TREATMENT,05/19/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12592-A3.pdf),
1623-15787,,SERVICE ENVELOPE CORP.,49793.00,PRINTED ENVELOPES,05/22/2017,1011.OFFICE OF CHIEF ADMIN OFFICER,05/24/2017,05/23/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1623-15787.pdf),
1625-15655,,CRISTINA FOODS INC.,220560.00,PRODUCE PRODUCTS,05/22/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,05/01/2017,04/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1625-15655.pdf),
1730-16453,,RYDIN DECAL,21596.00,2017 VEHICLE STICKERS,05/22/2017,1007.REVENUE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1730-16453.pdf),
1388-12595,,UNIVERSAL FAMILY CONNECTION INC,1.00,2012 SUBSTANCE ABUSE COUNSELING AND TREATMENT,05/22/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12595-A3.pdf),
1445-14238,,BLACK DOG CORPORATION,0.00,"SUPPLY, #2 DIESEL FUEL",05/22/2017,1200.DEPT. OF FACILITIES/MGMT,03/01/2017,02/28/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1445-14238-A2.pdf),
1585-14389,,ELEVATE ENERGY,0.00,SOLAR MARKET PATHWAYS CONTRACT,05/22/2017,1161.DEPT OF ENVIROMENTAL CTRL,07/02/2017,07/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1585-14389-A1.pdf),
1653-15574,,MIKVA CHALLENGE GRANT FOUNDATION,28375.00,JUVENILE JUSTICE COUNCIL PROGRAM,05/22/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,06/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15574-A1.pdf),
1684-15307,,HERTZ EQUIPMENT RENTAL CORPORATION,1725000.00,EQUIPMENT RENTAL PIGGYBACK,05/22/2017,1501.MFT ILLINOIS FIRST (IST),04/15/2017,04/14/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1684-15307-A1.pdf),
1653-15530,,SYSTEM SOLUTIONS INC.,1389964.25,HARDWARE MAINTENANCE,05/23/2017,1009.ENTERPRISE TECHNOLOGY,07/01/2017,06/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1653-15530.pdf),
1728-16463,,AMERICAN BACKFLOW PREVENTION INC.,15000.00,FIRE HYDRANT REPLACEMENT DISTRICT 1,05/23/2017,1500.COUNTY HIGHWAY DEPARTMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1728-16463.pdf),
1350-12923,,EVERBRIDGE INC.,1008000.00,MASS NOTIFICATION SYSTEM,05/24/2017,1265.EMERGENCY MANAGEMENT AGENCY,06/01/2017,05/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1350-12923-A1.pdf),
1635-15505,,RICHARD-ALLAN SCIENTIFIC COMPANY,48780.00,"MAINTENANCE AGREEMENT FOR THERMO FISHER CASSETTE PRINTER, SLIDEMATE PRINTER AND COVERSLIPPER",05/25/2017,1259.MEDICAL EXAMINER,05/26/2017,05/25/2021,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15505.pdf),
1645-15743,,UNITED SCRAP METAL INC.,0.00,SERVICE DISAPOSAL & RECYCLING,05/25/2017,1200.DEPT. OF FACILITIES/MGMT,05/22/2017,05/21/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15743.pdf),
1645-15817,,"ATLAS AND ASSOCIATES, INC.",100000.00,ACORN STAINLESS STEEL TOILETS,05/25/2017,1200.DEPT. OF FACILITIES/MGMT,05/22/2017,05/21/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15817.pdf),
1728-16525,,F.H. PASCHEN,178865.75,EMERGENCY COTTAGE GROVE ROAD CULVERT REPLACEMENT,05/25/2017,1500.COUNTY HIGHWAY DEPARTMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1728-16525.pdf),
11-50-54,,INDUSTRIAL/ORGANIZATIONAL SOLUTIONS INC,,TESTING SERVICES FOR THE MERIT BOARD,05/25/2017,1249.SHERIFF'S MERIT BOARD,06/14/2017,06/13/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-50-54-A4.pdf),
1388-12598,,CATHOLIC CHARITIES THE,0.00,2012 SUBSTANCE ABUSE COUNSELING AND TREATMENT,05/25/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12598-A2.pdf),
1388-12605,,CORNELL INTERVENTIONS INC,0.00,2012 SUBSTANCE ABUSE COUNSELING AND TREATMENT,05/25/2017,1280.ADULT PROBATION DEPT.,06/01/2017,05/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12605-A4.pdf),
1453-13368,,BLACK DOG CHICAGO  CORP.,65000.00,EGG PRODUCTS,05/25/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2017,06/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1453-13368-A2.pdf),
1453-13382,,BLACK DOG CORPORATION,0.00,MILK PRODUCTS,05/25/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,07/01/2017,06/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1453-13382-A2.pdf),
1488-13680,,HENRY'S SOBER LIVING HOUSE,648000.00,"ALTERNATIVE TEMPORARY HOUSING PROGRAM FOR MONITORED PROGRAM PARTICIPANTS
SERVICE LEVEL 1",05/25/2017,1014.BUDGET & MANAGEMENT SERVICES,06/01/2017,05/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1488-13680-A2.pdf),
1488-13689,,A SAFE HAVEN LLC,2125000.00,ALTERNATIVE TEMPORARY HOUSING,05/25/2017,1014.BUDGET & MANAGEMENT SERVICES,06/01/2017,05/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1488-13689-A2.pdf),
1488-13992,1112115,APPLICATIONS SOFTWARE TECHNOLOGY CORP,149534.96,ENTERPRISE SERVICE BUS (ESB),05/25/2017,1009.ENTERPRISE TECHNOLOGY,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1488-13992-A1.pdf),
1635-15620,,TRADEMARK PRODUCTS INC,99990.00,RUBBER STAMPS AND MARKING EQUIPMENT,05/26/2017,1335.CLERK OF CRCT CRT OFF.OF CLERK,05/26/2017,05/25/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15620.pdf),
1555-14475-MC6-(018515.01),,PASCHEN AUTUMN JOINT  VENTURE,16622.31,2016 JOC PROGRAM,05/30/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-MC6-(018515.01).pdf),
1555-14475-MC6-(018515.02),,PASCHEN AUTUMN JOINT  VENTURE,29570.25,2016 JOC PROGRAM,05/30/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-MC6-(018515.02).pdf),
1555-14475-MC6-(018515.03),,PASCHEN AUTUMN JOINT  VENTURE,16070.30,2016 JOC PROGRAM,05/30/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-MC6-(018515.03).pdf),
1555-14475-GC3-(019849.02),,PAUL BORG CONSTRUCTION COMPANY,46551.55,2016 JOC PROGRAM,06/01/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-GC3-(019849.02).pdf),
1555-14475-GC3-(019849.03),,PAUL BORG CONSTRUCTION COMPANY,128726.74,2016 JOC PROGRAM,06/01/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-GC3-(019849.03).pdf),
1730-16454,,KEYES-DAVIS COMPANY,23685.00,VEHICLE TAGS,06/01/2017,1007.REVENUE,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1730-16454.pdf),
12-18-400,,"RYCYZYN, GARY CONSULTING",18525.00,BALLOT MANAGEMENT SERVICES,06/01/2017,1110.COUNTY CLERK,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-18-400-A3.pdf),
13-28-026,,CDW-G LLC,17000000.00,SOFTWARE/ NETWORK EQUIPMENT - CDWG,06/01/2017,1009.ENTERPRISE TECHNOLOGY,05/15/2017,05/14/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/13-28-026-A4.pdf),
1611-15762,,"ENTERPRISE FLEET MANAGEMENT, INC.",2387161.20,VEHICLE LEASING,06/02/2017,1210.OFFICE OF THE SHERIFF,06/01/2017,05/31/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1611-15762.pdf),
1623-15713,,ROESCH FORD,289051.00,FORD F250 PICKUP TRUCK,06/02/2017,1577.VEHICLE PURCHASE FUND,05/17/2017,05/16/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1623-15713.pdf),
1785-16004,,"ACCRUENT, LLC",104587.62,MOBILE INTEGRATED  WORK MANAGEMENT SYSTEM,06/02/2017,1200.DEPT. OF FACILITIES/MGMT,06/01/2017,05/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1785-16004.pdf),
12-30-264,,"EQUAL LEVEL, INC.",54000.00,E-PROCUREMENT MARKETPLACE,06/02/2017,1030.CHIEF PROCUREMENT OFFICER,06/05/2017,06/04/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-30-264-A5.pdf),
1388-12622,,THE LINK & OPTION CENTER INC,,SUBSTANCE ABUSE TREATMENT AND COUNSELING,06/02/2017,1280.ADULT PROBATION DEPT.,06/02/2017,06/01/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12622-A2.pdf),
1525-14406,,GARTNER INC,149700.00,IT CONSULTING SERVICES,06/02/2017,1009.ENTERPRISE TECHNOLOGY,05/01/2017,04/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1525-14406-A1.pdf),
1555-14475-SW9-(032974.05),,FH PASCHEN SN NIELSEN ASSOCIATES LLC,19205.31,2016 JOC PROGRAM,06/06/2017,1500.COUNTY HIGHWAY DEPARTMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-SW9-(032974.05).pdf),
1650-15465,,AUDIO FIDELITY COMMUNICATIONS CORPORATION,698951.19,MAINTENANCE AND WARRANTY OF EMERGENCY OPERATIONS CENTER (EOC) AUDIO AND VISUAL EQUIPMENT,06/06/2017,1265.EMERGENCY MANAGEMENT AGENCY,06/01/2017,05/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1650-15465.pdf),
1728-16462R,,P R STREICH AND SONS INC,8762.00,POWER UNIT AND PUMP REPLACEMENT DISTRICT 2,06/06/2017,1500.COUNTY HIGHWAY DEPARTMENT,06/14/2017,09/13/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1728-16462R.pdf),
1735-16589,,PAPER SOLUTIONS,24900.00,EMERGENCY ORDER - CITY OF CHICAGO PERSONAL ISSUE TICKETS,06/09/2017,1335.CLERK OF CRCT CRT OFF.OF CLERK,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1735-16589.pdf),
1745-16124,,"SMITH MOVERS, INC.",224828.00,MOVING ELECTION EQUIPMENT AND WAREHOUSE SUPPLIES,06/09/2017,1524.COUNTY CLERK ELECTION DIV.FUND,06/12/2017,06/11/2018,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1745-16124.pdf),
1353-13117,,THE CHICAGO BAR FOUNDATION,168478.50,MUNICIPAL LEGAL ADVICE DESK SERVICES,06/09/2017,1300.JUDICIARY,09/01/2017,08/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1353-13117-A1.pdf),
1453-14044,,"BLACK DOG, CORP.",52520.00,POULTRY PRODUCTS,06/09/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,03/01/2017,02/28/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1453-14044-A1.pdf),
1653-15264A,,OAI INC,66666.67,"VIOLENCE PREVENTION, INTERVENTION AND REDUCTION DEMONSTRATION GRANTS ($200,000)",06/09/2017,1205.JUDICIAL ADVISORY COUNCIL,08/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15264-A1.pdf),
1653-15264B,,B.U.I.L.D. INC,66666.67,"VIOLENCE PREVENTION, INTERVENTION AND REDUCTION DEMONSTRATION GRANTS ($200,000)",06/09/2017,1205.JUDICIAL ADVISORY COUNCIL,08/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15264B-A1.pdf),
1653-15264C,,BRIGHTON PARK NEIGHBORHOOD COUNCIL,66666.67,"VIOLENCE PREVENTION, INTERVENTION AND REDUCTION DEMONSTRATION GRANTS ($200,000)",06/09/2017,1205.JUDICIAL ADVISORY COUNCIL,08/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15264C-A1.pdf),
1653-15264D,,"YOUTH ADVOCATE PROGRAMS, INC",66666.67,"VIOLENCE PREVENTION, INTERVENTION AND REDUCTION DEMONSTRATION GRANTS ($200,000)",06/09/2017,1205.JUDICIAL ADVISORY COUNCIL,08/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15264D-A1.pdf),
1653-15268A,,UMOJA STUDENT DEVELOPMENT CORPORATION,41666.65,"RESTORATIVE JUSTICE PROGRAM GRANT ($100,000)",06/09/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15268A-A1.pdf),
1555-14475-MC5-(042232.00),,S MECHANICAL INC,188494.55,2016 JOC PROGRAM,06/12/2017,1031.OFFICE OF ASSET MANAGEMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1555-14475-MC5-(042232.00).pdf),
1653-15268B,,LAWNDALE CHRISTIAN LEGAL CENTER,41666.65,"RESTORATIVE JUSTICE PROGRAM GRANT ($100,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15268B-A1.pdf),
1653-15268C,,ALTERNATIVES INC,16666.65,"RESTORATIVE JUSTICE PROGRAM GRANT ($40,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15268C-A1.pdf),
1653-15268D,,SANKOFA SAFE CHICO INITIATIVE,16666.65,"RESTORATIVE JUSTICE PROGRAM GRANT ($40,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15268D-A1.pdf),
1653-15268E,,OMNI YOUTH SERVICES,16666.65,"RESTORATIVE JUSTICE PROGRAM GRANT ($40,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15268E-A1.pdf),
1653-15268F,,WOODLAWN EAST COMMUNITY & NEIGHBORS,16666.65,"RESTORATIVE JUSTICE PROGRAM GRANT ($40,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15268F-A1.pdf),
1653-15268G,,PRECIOUS BLOOD MINISTRY OF RECONCILIATION,16666.65,"RESTORATIVE JUSTICE PROGRAM GRANT ($40,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15268G-A1.pdf),
1653-15275A,,ONE HOPE UNITED,41666.65,"RECIDIVISM REDUCTION GRANTS ($100,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15275A-A1.pdf),
1653-15275B,,SOUTH SUBURBAN PADS,41666.65,"RECIDIVISM REDUCTION GRANTS ($100,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15275B-A1.pdf),
1653-15275C,,MCDERMOTT CENTER,41666.65,"RECIDIVISM REDUCTION GRANTS ($100,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15275C-A1.pdf),
1653-15275D,,WESTSIDE HEALTH AUTHORITY,41666.65,"RECIDIVISM REDUCTION GRANTS ($100,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15275D-A1.pdf),
1653-15275E,,INNER-CITY MUSLIM ACTION NETWORK,41666.65,"RECIDIVISM REDUCTION GRANTS ($100,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15275E-A1.pdf),
1653-15275F,,CHICAGO URBAN LEAGUE,16666.65,"RECIDIVISM REDUCTION GRANTS ($40,000)",06/12/2017,1205.JUDICIAL ADVISORY COUNCIL,07/01/2017,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1653-15275F-A1.pdf),
