Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Ambulance,COUNTY,AK,North Slope,419,1,23,5.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Northwest Arctic,459,1,46,10%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Petersburg,676,1,51,7.5%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Prince of Wales Hyder,811,1,56,6.9%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Southeast Fairbanks,1006,4,23.3,9.2%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AK,Valdez Cordova,1231,2,29.5,4.8%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Wade Hampton,470,0,,2.8%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Wrangell,456,0,,2.4%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Yukon-Koyukuk,694,2,19.5,5.6%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AL,Autauga,6785,6,148,13.1%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Baldwin,30775,12,315.8,12.3%,12,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Barbour,5294,11,68,14.1%,11,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Bibb,3074,4,94.8,12.3%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Blount,7181,9,109.6,13.7%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Bullock,1394,4,44.3,12.7%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Butler,4235,7,80.6,13.3%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Calhoun,22249,13,255.6,14.9%,13,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Chambers,7278,13,78.7,14.1%,13,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Cherokee,5345,8,88.5,13.2%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Chilton,4940,6,126.7,15.4%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Choctaw,3488,3,157.7,13.6%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Clarke,4821,5,125,13%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Clay,3121,10,42.4,13.6%,10,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Cleburne,2995,6,71.3,14.3%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Coffee,9213,11,113.5,13.5%,11,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Colbert,12084,6,315.8,15.7%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Conecuh,3149,9,50,14.3%,9,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Coosa,2201,6,44.5,12.1%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Covington,8703,8,168.1,15.5%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Crenshaw,2741,8,47.8,13.9%,8,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Cullman,14548,8,260.9,14.3%,8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Dale,8989,8,154.8,13.8%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Dallas,7639,5,211.8,13.9%,5,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,DeKalb,12214,12,137.7,13.5%,12,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Elmore,11189,10,135.6,12.1%,10,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Escambia,7571,8,143.4,15.1%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Etowah,19260,15,180.7,14.1%,15,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AR,Clay,3800,7,61.6,11.3%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Fayette,4393,4,174,15.8%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Franklin,6230,6,158.5,15.3%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Geneva,6072,9,90.4,13.4%,9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Greene,2010,3,80.3,12%,3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Hale,3622,4,137.5,15.2%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Henry,3595,6,83.3,13.9%,6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Houston,19190,11,232.5,13.3%,11,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Jackson,10759,6,92.5,5.2%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Jefferson,71126,30,329.3,13.9%,30,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 22 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 22 Providers)
Ambulance,COUNTY,AL,Lamar,3612,7,64.4,12.5%,7,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Lauderdale,18501,6,393.8,12.8%,6,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Lawrence,6888,6,162.2,14.1%,6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Lee,17528,11,194.2,12.2%,11,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Limestone,13043,7,282.9,15.2%,7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Lowndes,1648,3,64,11.7%,3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Macon,3246,4,99.8,12.3%,4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AL,Madison,48048,12,610.3,15.2%,12,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 319 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (11 - 22 Providers)
Ambulance,COUNTY,AL,Marengo,4735,8,80.8,13.6%,8,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.9 - 14.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AL,Marion,6372,7,136.1,15%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (14.7 - 21.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
